p,SP,CT
0.0,35.239436848958334,12.669123408615166
20.0,35.265523274739586,12.557223336027949
50.0,35.29410400390625,12.129957109535967
100.0,35.30103759765625,11.044503410095162
150.0,35.22239583333333,10.271577333854092
250.0,34.935176595052084,8.331906227418312
400.0,34.716914876302084,6.4186017017502754
600.0,34.51423746744792,4.232079311497185
800.0,34.461588541666664,3.0185980369513894
1000.0,34.506734212239586,2.47309883935902
1200.0,34.58790283203125,2.271566822151119
1400.0,34.66783040364583,2.1616319914078703
1750.0,34.75557861328125,1.9694235024664855
2500.0,34.80103352864583,1.5659783926901698
3500.0,34.77121126853814,0.9233879991531763
4500.0,34.70250056340144,0.10421778393802991
